subject,list,object,objectPair,condition,responses,afc,pas,pas2
2,2,137,28,3,chair,0,3,3
2,2,166,129,2,nail,1,3,3
2,2,183,185,3,pliers,0,NA,2
2,2,111,125,1,screw,0,3,NA
2,2,102,110,2,shirt,1,NA,3
2,2,37,112,4,comb,1,NA,3
2,2,85,25,4,stool,1,2,3
2,2,189,19,1,pen,0,3,NA
2,2,185,183,3,headphones,1,3,3
2,2,28,137,3,cake,1,3,2
2,2,25,85,4,calculator,1,3,3
2,2,129,166,2,knot,0,3,3
2,2,112,37,4,rake,1,0,3
2,2,125,111,1,corkscrew,1,3,0
2,2,110,102,2,headphones,0,3,3
2,2,19,189,1,neckalce,0,3,0
2,3,61,121,4,wineglass,0,3,3
2,3,126,167,3,fireplace,1,2,3
2,3,30,69,2,cane,1,NA,NA
2,3,52,26,1,telephone,1,3,3
2,3,66,95,2,banjo,1,3,2
2,3,31,47,1,cellphone,1,2,3
2,3,147,146,4,razor,0,3,3
2,3,192,133,3,ladder,1,0,NA
2,3,167,126,3,nail clippers,1,3,3
2,3,146,147,4,fastner,1,3,2
2,3,26,52,1,headphones,0,3,3
2,3,133,192,3,banjo,1,NA,NA
2,3,95,66,2,shoe,1,3,3
2,3,121,61,4,coffee mug,1,0,NA
2,3,69,30,2,umbrella,1,3,3
2,3,47,31,1,cell phone,1,3,3
2,4,155,141,2,lamp,0,3,NA
2,4,7,119,2,battery,1,NA,3
2,4,99,56,1,razor,0,2,3
2,4,80,50,3,coin,1,3,3
2,4,113,76,4,radio,1,3,2
2,4,139,14,3,bobbypin,1,3,3
2,4,34,4,4,shoe,1,3,0
2,4,187,2,1,purse,0,3,NA
2,4,56,99,1,purse,0,2,3
2,4,119,7,2,pipe,1,3,3
2,4,14,139,3,binnoculars,0,NA,3
2,4,2,187,1,purse,0,3,0
2,4,141,155,2,candlestick,0,3,3
2,4,4,34,4,hankerchief,1,NA,3
2,4,76,113,4,strainer,1,3,3
2,4,50,80,3,dresser,1,NA,3
2,5,32,122,3,chain,1,3,3
2,5,44,43,3,sand sifter,1,3,3
2,5,143,128,1,belt,1,NA,NA
2,5,150,156,4,teapot,1,NA,0
2,5,88,40,4,spoon,1,3,3
2,5,98,78,2,scarf,1,3,3
2,5,71,20,1,scarf,0,0,0
2,5,103,11,2,wire,1,3,3
2,5,20,71,1,helmet,0,2,3
2,5,122,32,3,fish hook,1,3,3
2,5,11,103,2,hat,1,3,3
2,5,128,143,1,purse,1,3,3
2,5,40,88,4,bag,0,0,0
2,5,43,44,3,crayon,1,3,3
2,5,78,98,2,sweater,1,3,3
2,5,156,150,4,ice cube tray,1,3,3
2,6,165,45,1,mousetrap,1,3,3
2,6,104,1,2,rolling pin,1,NA,NA
2,6,62,123,2,teapot,1,3,2
2,6,154,176,1,spoon,0,3,2
2,6,13,16,4,binder,0,0,3
2,6,72,89,4,towel,1,0,0
2,6,79,59,3,sunglasses,1,3,3
2,6,174,131,3,glove,1,3,2
2,6,1,104,2,teapot,1,3,0
2,6,89,72,4,sponge,1,0,3
2,6,131,174,3,glove,1,3,3
2,6,16,13,4,book,1,3,NA
2,6,59,79,3,key,1,3,3
2,6,123,62,2,stool,1,3,3
2,6,45,165,1,plate,1,3,2
2,6,176,154,1,paperclip,0,3,3
2,7,172,170,2,ethernet cord,1,0,NA
2,7,60,191,2,ethernet cord,0,3,3
2,7,58,74,1,wheel,1,3,3
2,7,90,57,4,speaker,1,3,3
2,7,53,23,4,keyboard,1,2,2
2,7,188,186,3,record,1,3,3
2,7,145,15,3,ethernet port,0,3,3
2,7,117,135,1,clothes pin,1,0,NA
2,7,191,60,2,hose,1,2,2
2,7,15,145,3,bowl,1,2,2
2,7,135,117,1,ethernet cord,0,NA,NA
2,7,74,58,1,wheel,1,NA,0
2,7,23,53,4,bucket,1,2,2
2,7,170,172,2,notebook,0,3,3
2,7,57,90,4,microchip,1,3,3
2,7,186,188,3,lamp,1,3,3
2,8,159,162,4,level,1,NA,2
2,8,157,33,1,axe,1,0,NA
2,8,144,140,1,marker,1,2,3
2,8,151,97,2,key,1,3,3
2,8,73,68,3,vase,0,3,2
2,8,39,18,4,frame,0,3,3
2,8,81,96,2,stroller,1,2,2
2,8,8,153,3,hose,0,3,NA
2,8,18,39,4,box,0,3,NA
2,8,153,8,3,toothbrush,0,3,3
2,8,97,151,2,scissors,1,NA,3
2,8,162,159,4,mxer,1,2,3
2,8,140,144,1,hammer,0,3,3
2,8,68,73,3,vase,1,3,3
2,8,96,81,2,truck,1,NA,NA
2,8,33,157,1,chair,1,2,3
3,1,118,115,2,oven,0,3,3
3,1,124,100,4,magnifying glass,1,3,3
3,1,177,179,3,sleeping bag,1,2,3
3,1,161,163,4,umbrella,0,3,3
3,1,107,64,3,wedding band,1,3,3
3,1,181,184,2,clipboard,1,3,3
3,1,86,29,1,lampshade,0,NA,NA
3,1,3,6,1,car,0,NA,NA
3,1,100,124,4,sattelite,1,3,3
3,1,64,107,3,clock,1,3,3
3,1,6,3,1,faucet,0,NA,0
3,1,163,161,4,tire,0,3,3
3,1,184,181,2,sleeping bag,1,3,3
3,1,29,86,1,candlestick,1,NA,NA
3,1,115,118,2,pillow,0,3,3
3,1,179,177,3,sleeping bag,1,2,2
3,2,189,19,2,spoon,1,3,3
3,2,166,129,3,nail,1,3,3
3,2,137,28,4,flask,1,3,3
3,2,85,25,1,candle,1,0,NA
3,2,111,125,2,spatula,0,3,3
3,2,37,112,1,comb,0,3,0
3,2,102,110,3,shoe,1,2,2
3,2,183,185,4,pliers,0,NA,3
3,2,19,189,2,lights,0,3,3
3,2,129,166,3,knot,1,NA,3
3,2,110,102,3,shoe,1,3,3
3,2,112,37,1,rake,0,NA,NA
3,2,28,137,4,candle,1,3,3
3,2,125,111,2,corkscrew,1,3,3
3,2,25,85,1,calculator,1,3,0
3,2,185,183,4,microphone,1,3,3
3,3,30,69,3,cane,1,0,NA
3,3,66,95,3,shoe,1,3,3
3,3,52,26,2,pot,0,NA,0
3,3,126,167,4,wood stove,1,NA,0
3,3,31,47,2,television,1,3,3
3,3,147,146,1,drum,0,3,3
3,3,192,133,4,ladder,1,3,3
3,3,61,121,1,glass,0,3,3
3,3,146,147,1,hinge,1,0,NA
3,3,95,66,3,sneaker,1,3,3
3,3,133,192,4,cell phone,1,3,3
3,3,47,31,2,cell phone,0,3,3
3,3,167,126,4,sneaker,1,3,3
3,3,26,52,2,candle,0,2,2
3,3,69,30,3,umbrella,1,3,3
3,3,121,61,1,coffee mug,0,3,3
3,4,187,2,2,bag,0,3,3
3,4,80,50,4,sundial,1,3,3
3,4,155,141,3,lamp,1,2,3
3,4,139,14,4,clothes pin,1,0,3
3,4,99,56,2,spoon,1,3,3
3,4,113,76,1,cell phone,1,3,2
3,4,7,119,3,battery,1,3,NA
3,4,34,4,1,saw,0,0,3
3,4,50,80,4,chest of drawers,1,3,0
3,4,2,187,2,backpack,1,NA,2
3,4,4,34,1,board game,1,3,3
3,4,76,113,1,cheese grater,0,3,NA
3,4,141,155,3,bag,1,3,0
3,4,14,139,4,battery,1,3,3
3,4,56,99,2,saw,0,3,3
3,4,119,7,3,battery,1,NA,NA
3,5,32,122,4,chain,1,3,3
3,5,44,43,4,crib,1,3,3
3,5,98,78,3,ribbon,1,NA,NA
3,5,88,40,1,pan,0,3,3
3,5,143,128,2,high heel,0,0,3
3,5,71,20,2,pfd,1,3,3
3,5,103,11,3,rug,1,2,3
3,5,150,156,1,tea kettle,0,0,0
3,5,11,103,3,bib,1,3,3
3,5,128,143,2,high heel,1,3,3
3,5,40,88,1,briefcase,1,3,3
3,5,78,98,3,sweater,1,NA,NA
3,5,156,150,1,ice cube tray,1,2,2
3,5,122,32,4,fishing hook,1,NA,NA
3,5,43,44,4,crayon,1,3,3
3,5,20,71,2,briefcase,1,3,3
3,6,72,89,1,towels,0,3,3
3,6,154,176,2,ladle,1,3,3
3,6,165,45,2,mousetrap,1,3,3
3,6,13,16,1,binder,1,3,0
3,6,174,131,4,pants,1,3,3
3,6,104,1,3,rolling pin,1,3,0
3,6,62,123,3,tea kettle,1,0,3
3,6,79,59,4,sunglasses,1,3,3
3,6,89,72,1,sponge,0,3,3
3,6,16,13,1,book,1,NA,3
3,6,131,174,4,glove,1,NA,3
3,6,59,79,4,pan,1,3,3
3,6,176,154,2,paper clip,1,3,3
3,6,1,104,3,kettle,1,NA,NA
3,6,123,62,3,helmet,1,2,2
3,6,45,165,2,cutting board,1,3,NA
3,7,172,170,3,paintbrush,1,3,3
3,7,188,186,4,record,1,3,3
3,7,58,74,2,wheel,0,3,3
3,7,90,57,1,speaker,1,3,3
3,7,60,191,3,phone cable,0,0,NA
3,7,145,15,4,router,1,NA,NA
3,7,53,23,1,boat,1,3,3
3,7,117,135,2,microphone,1,3,3
3,7,135,117,2,pdf,1,3,3
3,7,15,145,4,boat,1,3,3
3,7,186,188,4,lantern,1,3,3
3,7,191,60,3,phone cable,0,2,3
3,7,170,172,3,cable,0,3,3
3,7,23,53,1,bucket,0,NA,NA
3,7,74,58,2,wheel,1,0,NA
3,7,57,90,1,hard drive,1,3,3
3,8,39,18,1,clipboard,1,3,3
3,8,81,96,3,stroller,1,NA,3
3,8,73,68,4,spoon,1,3,3
3,8,151,97,3,key,1,3,3
3,8,159,162,1,scissors,1,3,1
3,8,144,140,2,rolling pin,1,3,NA
3,8,157,33,2,axe,1,3,3
3,8,8,153,4,bed,1,3,0
3,8,97,151,3,scissors,1,3,3
3,8,18,39,1,briefcase,1,3,3
3,8,153,8,4,meat cleaver,1,NA,3
3,8,68,73,4,vase,1,3,NA
3,8,96,81,3,truck,1,3,3
3,8,162,159,1,iron,1,NA,2
3,8,140,144,2,hammer,0,3,NA
3,8,33,157,2,office chair,1,NA,3
4,1,118,115,3,notebook cover,0,2,3
4,1,107,64,4,ring,1,3,3
4,1,181,184,3,briefcase,1,2,2
4,1,3,6,2,sink,1,3,3
4,1,124,100,1,rod,0,0,NA
4,1,86,29,2,trophy,1,3,3
4,1,161,163,1,pan,0,NA,0
4,1,177,179,4,paper towels,0,3,3
4,1,100,124,1,satellite,1,NA,0
4,1,184,181,3,cloth,0,3,2
4,1,29,86,2,chalice,1,3,3
4,1,115,118,3,pillow,1,0,2
4,1,6,3,2,container,1,3,3
4,1,64,107,4,watch,1,3,3
4,1,163,161,1,shoe,1,NA,NA
4,1,179,177,4,bandage cloth,1,3,3
4,2,183,185,1,sadde,0,3,0
4,2,102,110,4,saddle,1,3,3
4,2,189,19,3,pen,1,0,2
4,2,137,28,1,flask,0,2,NA
4,2,85,25,2,screw,1,NA,3
4,2,37,112,2,comb,1,3,3
4,2,166,129,4,screw,1,3,3
4,2,111,125,3,mirror,1,0,2
4,2,110,102,4,armchair,0,3,3
4,2,19,189,3,necklace,1,3,1
4,2,185,183,1,microphone,0,2,0
4,2,25,85,2,calculator,1,3,3
4,2,125,111,3,electrical appliance,1,2,3
4,2,112,37,2,rake,1,NA,3
4,2,129,166,4,knot,1,3,3
4,2,28,137,1,candle,0,3,0
4,3,147,146,2,hole punch,0,3,3
4,3,192,133,1,ladder,1,3,3
4,3,66,95,4,wallet,1,3,3
4,3,52,26,3,mug,1,3,3
4,3,126,167,1,wallet,1,3,3
4,3,30,69,4,cane,1,3,2
4,3,31,47,3,calculator,0,1,1
4,3,61,121,2,glass,1,0,NA
4,3,47,31,3,paper,1,0,NA
4,3,26,52,3,nozzle,1,NA,0
4,3,121,61,2,mug,0,2,2
4,3,95,66,4,running shoe,1,3,3
4,3,69,30,4,umbrella,1,3,3
4,3,133,192,1,guitar,0,3,3
4,3,146,147,2,hinge,1,0,NA
4,3,167,126,1,strap,0,2,2
4,4,80,50,1,drawers,0,3,3
4,4,139,14,1,bobby pin,1,NA,1
4,4,99,56,3,glass,1,3,3
4,4,155,141,4,lamp,1,2,3
4,4,7,119,4,battery,1,3,3
4,4,187,2,3,purse,0,3,3
4,4,34,4,2,chessboard,1,3,NA
4,4,113,76,2,television,1,2,3
4,4,56,99,3,cotton,0,NA,3
4,4,119,7,4,capsule,1,0,1
4,4,2,187,3,purse,1,3,2
4,4,141,155,4,purse,1,NA,3
4,4,50,80,1,chest,0,3,1
4,4,76,113,2,nozzl,0,3,NA
4,4,4,34,2,box,1,2,0
4,4,14,139,1,tool,0,1,1
4,5,103,11,4,rug,1,3,3
4,5,88,40,2,pan,1,3,3
4,5,98,78,4,scarg,1,0,NA
4,5,143,128,3,shoe or belt,1,2,2
4,5,150,156,2,kettle,1,NA,NA
4,5,71,20,3,clothing,1,3,3
4,5,44,43,1,crib,1,3,3
4,5,32,122,1,chain,0,3,3
4,5,122,32,1,lure,0,3,3
4,5,11,103,4,bib,1,3,3
4,5,20,71,3,purse,1,1,1
4,5,40,88,2,ice cube tray,0,NA,NA
4,5,156,150,2,ice cube tray,1,1,NA
4,5,128,143,3,blanket,1,1,2
4,5,78,98,4,sweater,1,1,2
4,5,43,44,1,crayon,1,3,3
4,6,72,89,2,blanket,1,NA,3
4,6,13,16,2,binder,1,3,2
4,6,79,59,1,sunglasses,1,3,3
4,6,104,1,4,rolling pin,1,3,1
4,6,154,176,3,spoon,0,NA,3
4,6,62,123,4,gradening can,1,3,3
4,6,174,131,1,scarf,1,2,3
4,6,165,45,3,mousetrap,1,2,3
4,6,123,62,4,helme,1,1,NA
4,6,131,174,1,glove,0,3,3
4,6,59,79,1,calculator,0,3,3
4,6,45,165,3,plate,1,3,3
4,6,176,154,3,paperclip,1,2,NA
4,6,16,13,2,book,1,NA,NA
4,6,1,104,4,tea kettle,1,3,3
4,6,89,72,2,sponge,1,NA,3
4,7,90,57,2,computer,1,3,3
4,7,172,170,4,paintbrush,1,3,0
4,7,188,186,1,record,1,3,3
4,7,145,15,1,vaccum,0,3,2
4,7,58,74,3,sink,1,3,3
4,7,53,23,2,binder,0,3,3
4,7,117,135,3,seat,1,1,1
4,7,60,191,4,computer wire,1,3,3
4,7,74,58,3,tired,1,NA,NA
4,7,186,188,1,lamp,0,3,3
4,7,135,117,3,lamp,1,NA,NA
4,7,57,90,2,computer drive,1,3,3
4,7,191,60,4,plate,0,2,0
4,7,23,53,2,bucket,1,3,3
4,7,170,172,4,notebook,1,NA,0
4,7,15,145,1,appliance,0,3,3
4,8,73,68,1,lamp,0,NA,3
4,8,8,153,1,bench,0,3,3
4,8,39,18,2,binder,0,3,3
4,8,159,162,2,vacuum,1,3,3
4,8,151,97,4,key,1,0,3
4,8,157,33,3,axe,1,0,3
4,8,81,96,4,stroller,1,0,NA
4,8,144,140,3,sharpie,1,1,NA
4,8,97,151,4,scissor,1,3,3
4,8,96,81,4,truck,1,3,NA
4,8,153,8,1,box,1,3,1
4,8,68,73,1,vase,1,2,3
4,8,162,159,2,iron,1,3,NA
4,8,140,144,3,axe,0,3,3
4,8,18,39,2,box,1,NA,3
4,8,33,157,3,spray can,0,3,3
5,1,181,184,4,clipboard,1,3,3
5,1,3,6,3,drum,1,0,0
5,1,124,100,2,magnifying glass,1,3,3
5,1,86,29,3,spoon,0,3,3
5,1,118,115,4,drum,1,3,3
5,1,161,163,2,purse,0,3,0
5,1,107,64,1,drum,0,0,NA
5,1,177,179,1,paper towels,0,NA,0
5,1,29,86,3,candlestick,1,0,0
5,1,179,177,1,rug,1,0,NA
5,1,64,107,1,clock,0,0,0
5,1,6,3,3,book,1,1,1
5,1,163,161,2,shoe,1,3,3
5,1,115,118,4,pillow,1,3,3
5,1,184,181,4,metronome,1,3,3
5,1,100,124,2,satellite,1,3,3
5,2,111,125,4,rattle,1,3,3
5,2,183,185,2,phone,1,0,3
5,2,85,25,3,chair,1,3,0
5,2,137,28,2,chair,0,3,3
5,2,102,110,1,spoon,1,NA,0
5,2,166,129,1,mirror,0,3,NA
5,2,189,19,4,pen,1,0,2
5,2,37,112,3,comb,1,0,1
5,2,112,37,3,rake,1,3,0
5,2,25,85,3,phone,1,NA,2
5,2,129,166,1,knot,0,1,NA
5,2,185,183,2,chiar,1,0,3
5,2,110,102,1,hook,0,3,NA
5,2,28,137,2,glass,0,0,3
5,2,19,189,4,bracelet,1,3,3
5,2,125,111,4,corkscrew,1,3,3
5,3,61,121,3,mug,0,1,2
5,3,66,95,1,purse,1,3,3
5,3,31,47,4,phone,1,NA,NA
5,3,192,133,2,ladder,1,NA,0
5,3,147,146,3,crown,1,3,3
5,3,126,167,2,orbital sander,1,3,3
5,3,30,69,1,hook,1,NA,0
5,3,52,26,4,flask,0,3,3
5,3,167,126,2,spoon,0,3,3
5,3,146,147,3,phone,1,3,3
5,3,121,61,3,muggy,1,3,3
5,3,26,52,4,phone,1,0,2
5,3,47,31,4,hat,0,0,NA
5,3,95,66,1,computer,0,2,0
5,3,69,30,1,book,0,2,2
5,3,133,192,2,guitar,1,0,2
5,4,34,4,3,scrabble board,1,NA,3
5,4,113,76,3,book,1,3,NA
5,4,7,119,1,battery,0,2,3
5,4,80,50,2,sundial,1,3,3
5,4,155,141,1,spoon,1,0,0
5,4,99,56,4,spoon,1,0,NA
5,4,139,14,2,bobby pin,1,3,0
5,4,187,2,4,backpack,0,3,3
5,4,14,139,2,bobby pin,0,NA,3
5,4,141,155,1,spoon,0,3,2
5,4,2,187,4,backpack,0,3,2
5,4,119,7,1,trashcan,0,2,3
5,4,56,99,4,sundial,0,2,0
5,4,4,34,3,shirt,1,3,3
5,4,76,113,3,phone,1,2,NA
5,4,50,80,2,dresser,1,0,3
5,5,71,20,4,lure,0,3,3
5,5,44,43,2,crib,1,3,3
5,5,103,11,1,chiar,1,0,2
5,5,150,156,3,glass,1,NA,NA
5,5,143,128,4,high heel,1,3,2
5,5,98,78,1,purse,1,0,2
5,5,88,40,3,pan,0,3,3
5,5,32,122,2,chain,1,3,3
5,5,122,32,2,lure,1,2,2
5,5,20,71,4,purse,1,3,2
5,5,128,143,4,high heel,0,NA,0
5,5,43,44,2,crayon,1,0,NA
5,5,78,98,1,sweater,0,3,3
5,5,11,103,1,hat,0,NA,NA
5,5,40,88,3,boot,0,3,3
5,5,156,150,3,ladder,1,2,2
5,6,104,1,1,roller,0,3,3
5,6,62,123,1,pan,0,3,2
5,6,165,45,4,mousetrap,1,2,2
5,6,72,89,3,book,1,0,2
5,6,174,131,2,flower,0,3,3
5,6,13,16,3,folder,1,NA,2
5,6,79,59,2,glasses,1,NA,NA
5,6,154,176,4,ladle,1,2,3
5,6,16,13,3,book,1,3,3
5,6,59,79,2,glasses,0,2,NA
5,6,1,104,1,tea kettle,1,2,3
5,6,176,154,4,paper clip,1,2,3
5,6,123,62,1,chair,1,3,NA
5,6,131,174,2,purse,1,2,NA
5,6,89,72,3,sponge,1,3,3
5,6,45,165,4,cutting board,1,NA,3
5,7,58,74,4,vinyl,0,3,3
5,7,145,15,2,router,1,2,2
5,7,172,170,1,pen,0,NA,NA
5,7,117,135,4,stick,0,3,3
5,7,188,186,2,speaker,1,3,3
5,7,90,57,3,speaker,1,3,3
5,7,53,23,3,spoon,1,NA,NA
5,7,60,191,1,cable,1,2,2
5,7,186,188,2,lamp,1,3,3
5,7,57,90,3,router,1,3,3
5,7,23,53,3,dresser,0,2,2
5,7,15,145,2,router,0,3,3
5,7,135,117,4,spoon,1,2,0
5,7,170,172,1,cable,0,3,3
5,7,191,60,1,stove,0,NA,NA
5,7,74,58,4,tire,1,NA,NA
5,8,8,153,2,bridge,1,3,NA
5,8,159,162,3,grass,0,3,0
5,8,73,68,2,spoon,1,2,3
5,8,157,33,4,axe,1,3,3
5,8,144,140,4,marker,1,NA,2
5,8,151,97,1,key,0,3,0
5,8,39,18,3,vintl,1,3,3
5,8,81,96,1,lamp,0,NA,3
5,8,96,81,1,truck,1,NA,3
5,8,153,8,2,knife,1,3,0
5,8,140,144,4,axe,1,2,3
5,8,97,151,1,scissors,0,NA,3
5,8,68,73,2,spoon,0,2,2
5,8,33,157,4,glasses,0,0,2
5,8,162,159,3,router,1,3,NA
5,8,18,39,3,vinyl,0,3,3
6,1,86,29,4,bottle opener,1,3,3
6,1,118,115,1,headphones,0,0,NA
6,1,161,163,3,pen,1,3,3
6,1,107,64,2,ring,1,3,3
6,1,3,6,4,tub,1,3,3
6,1,124,100,3,magnifying glass,1,3,3
6,1,177,179,2,paper towels,1,3,3
6,1,181,184,1,clipboard,0,0,NA
6,1,29,86,4,candlestick,1,3,3
6,1,100,124,3,satellite,1,2,3
6,1,179,177,2,athletic tape,1,3,3
6,1,115,118,1,cushion,0,NA,0
6,1,64,107,2,watch,1,3,3
6,1,184,181,1,cupboard,1,0,0
6,1,6,3,4,tub,1,3,3
6,1,163,161,3,drain,1,3,3
6,2,183,185,3,wrench,0,3,3
6,2,102,110,2,bike seat,1,3,3
6,2,166,129,2,dress,0,3,3
6,2,111,125,1,tire,0,3,NA
6,2,189,19,1,pen,1,0,0
6,2,37,112,4,comb,1,3,3
6,2,85,25,4,screw,1,3,3
6,2,137,28,3,drum,1,0,2
6,2,110,102,2,purse,0,3,3
6,2,125,111,1,corkscrew,1,3,NA
6,2,112,37,4,rake,1,3,3
6,2,28,137,3,candle,1,NA,3
6,2,25,85,4,calculator,1,NA,3
6,2,185,183,3,microphone,1,3,3
6,2,19,189,1,necklace,1,3,NA
6,2,129,166,2,snake,1,3,3
6,3,147,146,4,guitar,1,3,3
6,3,30,69,2,cane,1,2,2
6,3,126,167,3,furnace,1,3,3
6,3,52,26,1,deodorant,0,NA,NA
6,3,31,47,1,refrigerator,1,NA,0
6,3,61,121,4,wine glass,1,3,3
6,3,66,95,2,car seat,0,3,3
6,3,192,133,3,ladder,1,3,3
6,3,121,61,4,mug,1,0,0
6,3,47,31,1,remote,0,3,2
6,3,133,192,3,guitar,1,NA,NA
6,3,69,30,2,umbrella,1,3,2
6,3,146,147,4,lightswitch,0,3,2
6,3,26,52,1,keg,1,3,2
6,3,167,126,3,nail clippers,1,3,3
6,3,95,66,2,piano,0,3,3
6,4,7,119,2,battery,1,3,3
